"term","meaning","anger","fear","trust","hope","sadness","frustration","notes"
"bana ba nfwiiti","children of witches (insult)","0.8","0.5","0","0","0.4","0.8","Local Zambian emotion mapping"
"imbwa / ba imbwa","dogs (insult)","0.9","0.1","0","0","0.2","0.9","Local Zambian emotion mapping"
"nkumba","pig (insult)","0.8","0.1","0","0","0.3","0.8","Local Zambian emotion mapping"
"mungulu / umungulu","nonsense / rubbish","0.8","0","0","0","0.3","0.9","Local Zambian emotion mapping"
"ubuteko","nonsense","0.7","0","0","0","0.3","0.8","Local Zambian emotion mapping"
"amalaiti / malaiti","lights / electricity (sarcastic)","0.2","0.1","0","0","0.3","0.5","Local Zambian emotion mapping"
"balipena","they have messed up / they are crazy","0.9","0.1","0","0","0.3","1","Local Zambian emotion mapping"
"bachilamo","they have no sense / incompetent","0.7","0.1","0","0","0.2","0.8","Local Zambian emotion mapping"
"ba fikala","they are seated (doing nothing)","0.5","0","0","0","0.2","0.7","Local Zambian emotion mapping"
"fikopo","a fool / stupid person","0.8","0","0","0","0.2","0.8","Local Zambian emotion mapping"
"mulepontako","you are joking / you play too much","0.6","0","0","0","0.1","0.7","Local Zambian emotion mapping"
"chabe","just / only (dismissive)","0","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"bwangu bwangu","quickly quickly (sarcastic)","0.2","0.1","0","0","0.1","0.5","Local Zambian emotion mapping"
"fwaka / fwakatili","they are finished / useless","0.7","0.2","0","0","0.4","0.9","Local Zambian emotion mapping"
"kuwayawaya","nonsense / useless","0.7","0.1","0","0","0.4","0.8","Local Zambian emotion mapping"
"ba mbuzi","goats (insult)","0.7","0.1","0","0","0.2","0.8","Local Zambian emotion mapping"
"mulekelesa","you are finishing us / killing us","0.7","0.8","0","0","1","1","Local Zambian emotion mapping"
"ubufi","darkness / nonsense","0.5","0.3","0","0","0.5","0.7","Local Zambian emotion mapping"
"tapali","there is nothing","0.2","0.4","0","0","0.5","0.5","Local Zambian emotion mapping"
"nefyo / nefyo fye","it is what it is (resigned)","0","0.1","0","0","0.3","0.2","Local Zambian emotion mapping"
"nsambilile","I have learned my lesson (sarcastic)","0.1","0","0","0","0.2","0.3","Local Zambian emotion mapping"
"mwebantu","you people (exclamation)","0.1","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"fyonse fye","everything is just (dismissive)","0","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"napanono","little by little (sarcastic)","0.2","0.1","0","0","0.2","0.4","Local Zambian emotion mapping"
"tefye","it’s not (emphatic denial)","0.4","0.1","0","0","0.2","0.5","Local Zambian emotion mapping"
"uyu / aba","this one / these ones (dismissive)","0.3","0","0","0","0.1","0.4","Local Zambian emotion mapping"
"po sana","well done (sarcastic)","0","0","0","0","0","0.3","Local Zambian emotion mapping"
"shani","what? / how? (rhetorical)","0.1","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"kaili","again / also (sarcastic)","0.1","0","0","0","0.1","0.4","Local Zambian emotion mapping"
"fyaleluka","they have gone mad","0.9","0.2","0","0","0.3","0.9","Local Zambian emotion mapping"
"inshila iyi","this way of doing things (bad)","0.4","0","0","0","0.2","0.7","Local Zambian emotion mapping"
"tebako","there is none","0.2","0.4","0","0","0.5","0.5","Local Zambian emotion mapping"
"tabaleka","they never stop","0.5","0.1","0","0","0.4","0.7","Local Zambian emotion mapping"
"ninshi ndefyaila","so I am tired / fed up","0.5","0.2","0","0","0.7","0.9","Local Zambian emotion mapping"
"mulibafu","you are useless","0.9","0.1","0","0","0.3","1","Local Zambian emotion mapping"
"muleke","stop it (dismissive)","0.4","0","0","0","0.1","0.5","Local Zambian emotion mapping"
"fyabupuba fye","just nonsense","1","0","0","0","0.4","1","Local Zambian emotion mapping"
"kuti walila","you would cry (sarcastic)","0.2","0.1","0","0","0.4","0.4","Local Zambian emotion mapping"
"akuna","there is no (Bemba/Nyanja)","0.3","0.5","0","0","0.6","0.5","Local Zambian emotion mapping"
"ndafya","I am finished / tired","0.2","0.6","0","0","0.9","0.8","Local Zambian emotion mapping"
"tachona","it’s not seen / hopeless","0.2","0.6","0","0","0.7","0.7","Local Zambian emotion mapping"
"chifundo","mercy / pity (sarcastic)","0.2","0","0","0","0.1","0.3","Local Zambian emotion mapping"
"zedi","very / truly (intensifier)","0","0","0","0","0","0.1","Local Zambian emotion mapping"
"ba macho","clever ones (sarcastic)","0.1","0","0","0","0","0.3","Local Zambian emotion mapping"
"muyaye","forever (sarcastic)","0.1","0","0","0","0.1","0.3","Local Zambian emotion mapping"
"mulibako nchito","you have no work (insult)","0.6","0.1","0","0","0.2","0.7","Local Zambian emotion mapping"
"bamano","they are clever (sarcastic)","0.1","0","0","0","0","0.3","Local Zambian emotion mapping"
"nifibe","it’s dark (literal + complaint)","0.3","0.2","0","0","0.4","0.5","Local Zambian emotion mapping"
"balalila","they are crying (sarcastic)","0.3","0","0","0","0.1","0.4","Local Zambian emotion mapping"
"chipuba / fipuba","stupid / stupid things","0.8","0","0","0","0.3","0.9","Local Zambian emotion mapping"
"mwesu","at our place","0","0","0","0","0","0","Local Zambian emotion mapping"
"mwakana","you have refused (to do right)","0.5","0.1","0","0","0.4","0.6","Local Zambian emotion mapping"
"tacisupa","it’s not progressing","0.3","0.5","0","0.1","0.6","0.7","Local Zambian emotion mapping"
"napi","where? (rhetorical)","0.1","0","0","0","0.2","0.2","Local Zambian emotion mapping"
"ichibeleshi","this useless thing","0.7","0.1","0","0","0.4","0.8","Local Zambian emotion mapping"
"ichinono","a little (sarcastic)","0.1","0","0","0","0.1","0.3","Local Zambian emotion mapping"
"ba mbutuma","those who are late (sarcastic)","0.2","0","0","0","0.1","0.4","Local Zambian emotion mapping"
"twalishiba","we know (sarcastic)","0.1","0","0","0","0","0.2","Local Zambian emotion mapping"
"ma case","the issues / problems","0.3","0.1","0","0","0.4","0.5","Local Zambian emotion mapping"
"chawa","it’s broken / over","0.2","0.6","0","0","0.7","0.7","Local Zambian emotion mapping"
"taumfwa","you don’t listen","0.6","0.1","0","0","0.3","0.8","Local Zambian emotion mapping"
"mulabuta","you are dreaming / joking","0.5","0.1","0","0","0.2","0.6","Local Zambian emotion mapping"
"twafikilapo","we have had enough","0.6","0.2","0","0","0.5","1","Local Zambian emotion mapping"
"bakajalwa","they will be cursed","0.7","0.2","0","0","0.2","0.6","Local Zambian emotion mapping"
"chitema kwalamba","it pains the heart","0.6","0.2","0","0","0.9","0.6","Local Zambian emotion mapping"
"fipondo","tricks / nonsense","0.7","0.1","0","0","0.3","0.8","Local Zambian emotion mapping"
"tafula","they are finished (insult)","0.7","0.2","0","0","0.3","0.8","Local Zambian emotion mapping"
"ibe","look (exclamation)","0","0","0","0","0","0.1","Local Zambian emotion mapping"
"baba","father (sarcastic respect)","0.1","0","0","0","0","0.2","Local Zambian emotion mapping"
"nyoko","your mother (insult)","0.9","0.1","0","0","0.2","0.9","Local Zambian emotion mapping"
"mulima","you are a farmer (insult uneducated)","0.5","0","0","0","0.1","0.6","Local Zambian emotion mapping"
"ba nkalata","letter people (sarcastic educated)","0.1","0","0","0","0","0.3","Local Zambian emotion mapping"
"nangu","or / even (rhetorical)","0","0","0","0","0","0.1","Local Zambian emotion mapping"
"nangu mwati","what do you expect? (rhetorical)","0.1","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"bambo","father (sarcastic)","0.1","0","0","0","0","0.2","Local Zambian emotion mapping"
"mwapuseni","you have fooled us","0.7","0.2","0","0","0.4","0.8","Local Zambian emotion mapping"
"twakula","we have grown (sarcastic)","0.1","0","0","0","0.2","0.3","Local Zambian emotion mapping"
"cila cila","every day (complaint)","0.3","0.2","0","0","0.5","0.7","Local Zambian emotion mapping"
"fuma apa","get out of here (dismissive)","0.6","0.1","0","0","0.1","0.6","Local Zambian emotion mapping"
"baleba","they are lying","0.8","0.2","0","0","0.4","0.8","Local Zambian emotion mapping"
"nacema","it’s bad","0.4","0.4","0","0","0.7","0.6","Local Zambian emotion mapping"
"tacipali","there is none","0.2","0.4","0","0","0.5","0.5","Local Zambian emotion mapping"
"nshita yonse","all the time (complaint)","0.3","0.2","0","0","0.5","0.7","Local Zambian emotion mapping"
"mulecheche","you are joking / playing","0.5","0.1","0","0","0.2","0.6","Local Zambian emotion mapping"
"balalambila","they are confusing us","0.5","0.3","0","0","0.4","0.7","Local Zambian emotion mapping"
"fisakasono","problems / complications","0.4","0.3","0","0","0.5","0.6","Local Zambian emotion mapping"
"balituta","they are mocking us","0.6","0.3","0","0","0.5","0.7","Local Zambian emotion mapping"
"temwa","love (sarcastic)","0","0","0","0","0","0.2","Local Zambian emotion mapping"
"uyu wamwene","this one (dismissive)","0.3","0","0","0","0.1","0.4","Local Zambian emotion mapping"
"ba lubemba","Bemba people (stereotype)","0","0","0","0","0","0.1","Local Zambian emotion mapping"
"lelo","today (emphatic)","0.1","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"nipa","the first day of month","0.1","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"mwe","you (plural, emphatic)","0","0","0","0","0","0.1","Local Zambian emotion mapping"
"kabili","again (complaint)","0.2","0","0","0","0.2","0.3","Local Zambian emotion mapping"
"pali","there is (rhetorical)","0","0","0","0","0","0.1","Local Zambian emotion mapping"
"kuno","here (location)","0","0","0","0","0","0","Local Zambian emotion mapping"
"lelo fye","just today (emphatic)","0.1","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"naimwe ba Zesco","you too Zesco (accusatory)","0.4","0","0","0","0.1","0.5","Local Zambian emotion mapping"
"bamene","those ones (dismissive)","0.3","0","0","0","0.1","0.4","Local Zambian emotion mapping"
"bena","of the clan / those from","0","0","0","0","0","0","Local Zambian emotion mapping"
"mwalatochela ifintu","you have poured things (complaint)","0.6","0.1","0","0","0.3","0.7","Local Zambian emotion mapping"
"mwelesa","you have finished (complaint)","0.5","0.3","0","0","0.6","0.7","Local Zambian emotion mapping"
"bamiuzilatu","they have started (from comment)","0.7","0.2","0","0","0.3","0.8","Local Zambian emotion mapping"
"mwapangwa shani","what have you done? (rhetorical)","0.4","0.1","0","0","0.3","0.5","Local Zambian emotion mapping"
"mwachilamo","you have no sense / you are incompetent","0.7","0.1","0","0","0.2","0.8","Local Zambian emotion mapping"
"tayalapita","it will not pass (politics)","0.2","0.2","0","0.1","0.2","0.3","Local Zambian emotion mapping"
"mwati muganiza","you think (rhetorical)","0.1","0","0","0","0.1","0.2","Local Zambian emotion mapping"
"twashuka","we have escaped (relief)","0","0","0","0.4","0","0","Local Zambian emotion mapping"
"twalibelela","we are waiting (impatient)","0.2","0.1","0","0.2","0.3","0.5","Local Zambian emotion mapping"
"mwalipena","you have gone crazy","0.8","0.1","0","0","0.2","0.8","Local Zambian emotion mapping"
"baletwalila","they are finishing us","0.6","0.7","0","0","0.9","0.9","Local Zambian emotion mapping"
"mwabombesha","you are overworking (sarcastic)","0.3","0","0","0","0.1","0.4","Local Zambian emotion mapping"
"tulibamo","we are in it (resigned)","0.1","0.2","0","0","0.3","0.3","Local Zambian emotion mapping"
"tiziba","we don’t know","0.1","0.2","0","0","0.3","0.3","Local Zambian emotion mapping"
"ichalo","the country / this place","0","0","0","0","0.1","0.1","Local Zambian emotion mapping"
"bamakaka","those big shots (sarcastic)","0.2","0","0","0","0","0.3","Local Zambian emotion mapping"
"tulelola","we are watching / waiting","0.1","0","0","0.1","0.1","0.2","Local Zambian emotion mapping"
"nabakateka","those who are seated (doing nothing)","0.4","0","0","0","0.1","0.6","Local Zambian emotion mapping"
"bamene ba Zesco","those ZESCO people","0.4","0","0","0","0.1","0.5","Local Zambian emotion mapping"
"kuli","there is (rhetorical)","0","0","0","0","0","0.1","Local Zambian emotion mapping"
"mwalimbwafye","you are just fine (sarcastic)","0.2","0","0","0","0.1","0.3","Local Zambian emotion mapping"
"chomfwa","you hear? (rhetorical)","0","0","0","0","0","0.1","Local Zambian emotion mapping"
"mulenya mulelapila","you will cry and sleep (mockery)","0.3","0.1","0","0","0.2","0.4","Local Zambian emotion mapping"
"fwebene","ourselves","0","0","0.1","0.1","0","0","Local Zambian emotion mapping"

